Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Osteosarcoma,Bone,29,3,2,FXN,unknown,,,CCND1 + FXN + HNRNPH1,80.9%,4.16
Osteosarcoma,Bone,29,3,3,HNRNPH1,unknown,,,CCND1 + FXN + HNRNPH1,80.9%,4.16
T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,27,3,1,CCND1,unknown,,,CCND1 + LCK + NKX2-3,82.9%,2.70
T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,27,3,2,LCK,unknown,,,CCND1 + LCK + NKX2-3,82.9%,2.70
T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,27,3,3,NKX2-3,unknown,,,CCND1 + LCK + NKX2-3,82.9%,2.70
Rhabdomyosarcoma,Soft Tissue,25,3,1,CCND1,unknown,,,CCND1 + MCL1 + MMGT1,82.8%,2.55
Rhabdomyosarcoma,Soft Tissue,25,3,2,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CCND1 + MCL1 + MMGT1,82.8%,2.55
Rhabdomyosarcoma,Soft Tissue,25,3,3,MMGT1,unknown,,,CCND1 + MCL1 + MMGT1,82.8%,2.55
Hepatocellular Carcinoma,Liver,24,3,1,CCND1,unknown,,,CCND1 + FYN + GRB2,89.7%,2.61
Hepatocellular Carcinoma,Liver,24,3,2,FYN,approved,dasatinib; saracatinib,myelosuppression,CCND1 + FYN + GRB2,89.7%,2.61
Hepatocellular Carcinoma,Liver,24,3,3,GRB2,unknown,,,CCND1 + FYN + GRB2,89.7%,2.61
Embryonal Tumor,CNS/Brain,21,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + MCL1,82.9%,2.70
Embryonal Tumor,CNS/Brain,21,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + MCL1,82.9%,2.70
Embryonal Tumor,CNS/Brain,21,3,3,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CDK4 + CDK6 + MCL1,82.9%,2.70
Myeloproliferative Neoplasms,Myeloid,18,3,1,GAB2,unknown,,,GAB2 + SOS1 + STAT3,85.7%,2.77
Myeloproliferative Neoplasms,Myeloid,18,3,2,SOS1,unknown,,,GAB2 + SOS1 + STAT3,85.7%,2.77
Myeloproliferative Neoplasms,Myeloid,18,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,GAB2 + SOS1 + STAT3,85.7%,2.77
Mature T and NK Neoplasms,Lymphoid,17,3,1,RPL15,unknown,,,RPL15 + RPL21 + STAT3,83.8%,0.80
Mature T and NK Neoplasms,Lymphoid,17,3,2,RPL21,unknown,,,RPL15 + RPL21 + STAT3,83.8%,0.80
Mature T and NK Neoplasms,Lymphoid,17,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,RPL15 + RPL21 + STAT3,83.8%,0.80
Non-Hodgkin Lymphoma,Lymphoid,16,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + NFKB1,81.2%,2.62
Non-Hodgkin Lymphoma,Lymphoid,16,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + NFKB1,81.2%,2.62
Non-Hodgkin Lymphoma,Lymphoid,16,3,3,NFKB1,unknown,,,CDK4 + CDK6 + NFKB1,81.2%,2.62
Rhabdoid Cancer,Kidney,16,3,1,CCND1,unknown,,,CCND1 + DCLRE1B + UBE2D3,81.6%,2.68
Rhabdoid Cancer,Kidney,16,3,2,DCLRE1B,unknown,,,CCND1 + DCLRE1B + UBE2D3,81.6%,2.68
Rhabdoid Cancer,Kidney,16,3,3,UBE2D3,unknown,,,CCND1 + DCLRE1B + UBE2D3,81.6%,2.68
Ocular Melanoma,Eye,15,3,1,ANKUB1,unknown,,,ANKUB1 + CCND1 + E2F3,83.3%,2.29
