Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered
Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,1,CDK4 + DUSP6 + PTK2,CDK4,DUSP6,PTK2,1.537,0.94,0.39,51.2%,1,palbociclib,N/A,N/A,1
Non-Small Cell Lung Cancer,Lung,165,EGFR + MAP2K1 + SLC2A1,EGFR,MAP2K1,SLC2A1,1.759,0.94,0.42,50.9%,2,erlotinib,trametinib,N/A,2
Non-Cancerous,Lymphoid,151,E2F3 + EGFR + JUNB,E2F3,EGFR,JUNB,1.722,0.94,0.42,50.8%,1,N/A,erlotinib,N/A,1
Pleural Mesothelioma,Pleura,36,EGFR + ELMO2 + MAP2K1,EGFR,ELMO2,MAP2K1,1.722,0.94,0.42,50.0%,2,erlotinib,N/A,trametinib,2
Well-Differentiated Thyroid Cancer,Thyroid,9,E2F3 + EGFR + SOCS3,E2F3,EGFR,SOCS3,1.700,0.94,0.42,51.0%,1,N/A,erlotinib,N/A,1
Cervical Adenocarcinoma,Cervix,7,CTNNB1 + EGFR + TGIF1,CTNNB1,EGFR,TGIF1,1.747,0.94,0.42,50.0%,1,N/A,erlotinib,N/A,2
Uterine Sarcoma/Mesenchymal,Uterus,4,E2F3 + EGFR + TFCP2L1,E2F3,EGFR,TFCP2L1,1.687,0.94,0.42,50.0%,1,N/A,erlotinib,N/A,1
Pancreatic Adenocarcinoma,Pancreas,64,KRAS + STAT3 + UROD,KRAS,STAT3,UROD,0.963,0.94,0.44,53.7%,2,sotorasib,napabucasin,N/A,2
Breast Ductal Carcinoma In Situ,Breast,6,ERBB2 + MET + SREBF1,ERBB2,MET,SREBF1,1.592,0.81,0.00,51.1%,2,trastuzumab,capmatinib,N/A,1
Fibrosarcoma,Soft Tissue,3,ERBB2 + MAPK1 + MET,ERBB2,MAPK1,MET,1.453,0.81,0.00,51.0%,2,trastuzumab,N/A,capmatinib,2
Epithelioid Sarcoma,Soft Tissue,2,ERBB2 + MAP2K1 + MET,ERBB2,MAP2K1,MET,1.318,0.81,0.00,50.0%,3,trastuzumab,trametinib,capmatinib,2
Adrenocortical Carcinoma,Adrenal Gland,2,CCNE1 + CDK6 + MCL1,CCNE1,CDK6,MCL1,1.424,0.81,0.00,52.8%,1,N/A,palbociclib,AMG-176,2
Urethral Cancer,Bladder/Urinary Tract,2,ERBB2 + MAP2K1 + MET,ERBB2,MAP2K1,MET,1.345,0.81,0.00,51.4%,3,trastuzumab,trametinib,capmatinib,2
"Sarcoma, NOS",Soft Tissue,1,CDK6 + ERBB2 + MET,CDK6,ERBB2,MET,1.188,0.81,0.00,50.0%,3,palbociclib,trastuzumab,capmatinib,2
Embryonal Tumor,CNS/Brain,21,CDK4 + CDK6 + MCL1,CDK4,CDK6,MCL1,1.784,0.81,0.26,50.9%,2,palbociclib,palbociclib,AMG-176,2
Non-Hodgkin Lymphoma,Lymphoid,16,CDK4 + CDK6 + NFKB1,CDK4,CDK6,NFKB1,1.753,0.81,0.26,53.8%,2,palbociclib,palbociclib,N/A,2
Meningothelial Tumor,CNS/Brain,4,CDK4 + CDK6 + MCL1,CDK4,CDK6,MCL1,1.652,0.81,0.26,52.7%,2,palbociclib,palbociclib,AMG-176,2
Salivary Carcinoma,Head and Neck,2,CDK4 + CDK6 + MCL1,CDK4,CDK6,MCL1,1.560,0.81,0.26,52.0%,2,palbociclib,palbociclib,AMG-176,2
Giant Cell Tumor of Bone,Bone,1,CDK4 + CDK6 + PTK2,CDK4,CDK6,PTK2,1.463,0.81,0.26,51.2%,2,palbociclib,palbociclib,N/A,1
