Cancer_Type,Lineage,Cell_Lines,Triple_Targets,Target_1,Target_2,Target_3,Combined_Score,Synergy_Score,Resistance_Score,Path_Coverage,Druggable_Count,Drug_1,Drug_2,Drug_3,Pathways_Covered,Synergy,Resistance,Coverage,Druggable
Colorectal Adenocarcinoma,,96,BRAF + EGFR + KRAS,BRAF,EGFR,KRAS,,,,,,vemurafenib,erlotinib,sotorasib,,0.94,0.33,52.9%,3/3
Melanoma,,135,CDK6 + EGFR + MAP2K1,CDK6,EGFR,MAP2K1,,,,,,palbociclib,erlotinib,trametinib,,0.94,0.42,51.6%,3/3
Anaplastic Thyroid Cancer,,13,CDK6 + EGFR + MAP2K1,CDK6,EGFR,MAP2K1,,,,,,palbociclib,erlotinib,trametinib,,0.94,0.42,55.6%,3/3
Renal Cell Carcinoma,,56,BCL2L1 + EGFR + MAP2K1,BCL2L1,EGFR,MAP2K1,,,,,,navitoclax,erlotinib,trametinib,,0.94,0.42,52.8%,3/3
Prostate Adenocarcinoma,,6,CDK2 + EGFR + MAP2K1,CDK2,EGFR,MAP2K1,,,,,,dinaciclib,erlotinib,trametinib,,0.94,0.42,52.7%,3/3
Pancreatic Adenocarcinoma,,64,EGFR + KRAS + MET,EGFR,KRAS,MET,,,,,,erlotinib,sotorasib,capmatinib,,0.81,0.26,56.4%,3/3
Acute Myeloid Leukemia,,64,CDK2 + CDK4 + STAT3,CDK2,CDK4,STAT3,,,,,,dinaciclib,palbociclib,napabucasin,,0.81,0.32,50.0%,3/3
Ovarian Epithelial Tumor,,71,CDK6 + EGFR + MET,CDK6,EGFR,MET,,,,,,palbociclib,erlotinib,capmatinib,,0.81,0.32,53.8%,3/3
Bladder Urothelial Carcinoma,,35,CDK6 + EGFR + MET,CDK6,EGFR,MET,,,,,,palbociclib,erlotinib,capmatinib,,0.81,0.32,54.7%,3/3
Endometrial Carcinoma,,37,CDK2 + EGFR + MET,CDK2,EGFR,MET,,,,,,dinaciclib,erlotinib,capmatinib,,0.81,0.32,50.8%,3/3
Hepatocellular Carcinoma,,24,EGFR + FGFR1 + MET,EGFR,FGFR1,MET,,,,,,erlotinib,erdafitinib,capmatinib,,0.81,0.32,53.8%,3/3
Liposarcoma,,13,EGFR + FGFR1 + MET,EGFR,FGFR1,MET,,,,,,erlotinib,erdafitinib,capmatinib,,0.81,0.32,50.9%,3/3
Diffuse Glioma,,96,EGFR + FGFR1 + MET,EGFR,FGFR1,MET,,,,,,erlotinib,erdafitinib,capmatinib,,0.81,0.32,56.7%,3/3
Invasive Breast Carcinoma,,82,ERBB2 + MET + SRC,ERBB2,MET,SRC,,,,,,trastuzumab,capmatinib,dasatinib,,0.81,0.39,50.9%,3/3
Head and Neck Squamous Cell Carcinoma,,89,ERBB2 + MET + SRC,ERBB2,MET,SRC,,,,,,trastuzumab,capmatinib,dasatinib,,0.81,0.39,52.3%,3/3
